                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.1519,                 1.3012,                 1.0705,                0.40667,                0.55957,                0.38992,                0.23375,                 1.3246,                 2.3165,                 1.1461,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.1556,                 1.3154,                 1.0748,                0.36574,                0.57401,                0.37212,                0.22661,                 1.3465,                 2.6145,                 1.1558,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.1496,                 1.2862,                 1.0748,                0.37068,                0.59539,                0.37124,                0.22449,                 1.2988,                 2.6119,                  1.154,              0.0091684,              0.0091684,              0.0091684
                     87,                  1.155,                 1.2891,                 1.0686,                0.41216,                0.55596,                0.38675,                0.22976,                 1.3242,                 2.3624,                 1.1597,              0.0091585,              0.0091585,              0.0091585
                     88,                  1.128,                 1.2246,                 1.0569,                0.42114,                0.41761,                0.36267,                0.21757,                 1.3542,                 2.6982,                 1.1733,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.1362,                 1.2439,                 1.0599,                0.42991,                0.60289,                0.38844,                0.22893,                 1.3564,                 2.9322,                 1.1405,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.1209,                 1.2306,                 1.0541,                  0.431,                0.56318,                0.39722,                0.24331,                 1.2684,                 2.4898,                 1.1112,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.1223,                 1.2371,                 1.0562,                0.40998,                 0.5594,                0.37798,                0.22936,                 1.2521,                 2.4905,                   1.11,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.1321,                 1.2618,                 1.0578,                0.41033,                0.55267,                0.38213,                0.22458,                 1.3686,                 2.4388,                 1.1867,               0.009109,               0.009109,               0.009109
                     93,                 1.1348,                 1.2748,                 1.0603,                0.41855,                0.58123,                 0.3875,                0.23483,                 1.3284,                 2.5531,                 1.1969,              0.0090991,              0.0090991,              0.0090991
                     94,                  1.129,                 1.2381,                 1.0648,                0.37855,                0.49819,                0.36165,                0.21478,                 1.3059,                 2.4935,                 1.1609,              0.0090892,              0.0090892,              0.0090892
                     95,                  1.127,                  1.232,                 1.0538,                0.40152,                 0.5343,                0.35966,                 0.2102,                 1.2749,                 2.6947,                 1.1126,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.1122,                 1.1853,                 1.0444,                0.41122,                0.53069,                0.39438,                0.24004,                 1.2236,                 2.2692,                 1.1114,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.1008,                 1.2068,                 1.0462,                0.42073,                0.58484,                0.39988,                 0.2385,                 1.2584,                  2.617,                 1.1103,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.1022,                 1.1602,                 1.0498,                0.37949,                0.49097,                0.34706,                0.21487,                 1.2417,                  2.424,                 1.1306,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.1062,                 1.2131,                  1.048,                0.40819,                0.63247,                0.39733,                0.24124,                 1.2598,                 2.7629,                 1.1267,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.1195,                   1.18,                 1.0409,                0.37364,                0.59567,                0.36924,                 0.2178,                 1.3198,                 2.4465,                 1.1953,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.1041,                 1.1873,                 1.0495,                0.37777,                0.52347,                0.37281,                0.22296,                 1.3209,                 2.6354,                 1.1943,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.1084,                 1.1982,                 1.0442,                0.38234,                0.37906,                0.32298,                 0.2001,                 1.3103,                 2.5617,                 1.1668,                0.00901,                0.00901,                0.00901
